fileName			AA			AD			AP			AS			AW			SAI
1				16.865553			0.720868			1378.080000			0.405208			72.000000			1.168302
2				18.323692			0.788579			1378.080000			0.408159			72.000000			1.272174
3				16.327231			0.718630			1378.080000			0.418346			72.000000			1.252477
4				19.017836			0.800798			1378.080000			0.401740			60.000000			1.197297
5				18.061507			0.761456			1378.080000			0.403418			72.000000			1.167424
6				16.247935			0.733493			1378.080000			0.421298			66.000000			1.367490
7				15.450244			0.682220			1378.080000			0.408327			60.000000			1.225572
8				18.224093			0.784482			1378.080000			0.409596			72.000000			1.274585
9				17.917317			0.762926			1378.080000			0.351057			72.000000			1.181270
10				17.033230			0.747245			1378.080000			0.406667			54.000000			1.308604
11				19.512066			0.807212			1378.080000			0.397988			72.000000			1.132791
12				19.519779			0.826080			1378.080000			0.404431			72.000000			1.271060
13				19.451059			0.808619			1378.080000			0.398367			72.000000			1.155717
14				18.811471			0.806348			1378.080000			0.408817			72.000000			1.303674
15				18.476766			0.802488			1378.080000			0.417205			72.000000			1.293903
16				18.384525			0.778061			1378.080000			0.405634			72.000000			1.195878
17				17.355308			0.734668			1378.080000			0.348673			66.000000			1.152998
18				17.645264			0.779182			1378.080000			0.474261			72.000000			1.440211
19				17.653049			0.763819			1378.080000			0.404161			60.000000			1.285249
20				20.874892			0.849993			1378.080000			0.041571			72.000000			1.075398
21				18.273642			0.753037			1378.080000			0.398054			72.000000			1.076957
22				17.509329			0.757414			1378.080000			0.405460			54.000000			1.267145
23				17.099770			0.769947			1378.080000			0.415164			54.000000			1.481910
24				16.426260			0.728149			1378.080000			0.413306			66.000000			1.313509
25				15.104440			0.680581			1378.080000			0.422430			72.000000			1.266606
26				14.638305			0.666292			1378.080000			0.423232			72.000000			1.274038
27				19.201265			0.803226			1378.080000			0.042732			78.000000			1.131800
28				16.067046			0.691312			1378.080000			0.411402			72.000000			1.156609
29				18.793842			0.824080			1378.080000			0.411155			60.000000			1.490745
30				18.027316			0.755812			1378.080000			0.087542			78.000000			1.101801
31				15.144128			0.682097			1378.080000			0.424820			72.000000			1.268734
32				19.682203			0.834514			1378.080000			0.405984			66.000000			1.269695
33				15.689045			0.730874			1378.080000			0.419507			84.000000			1.531752
34				16.179005			0.725682			1378.080000			0.425476			72.000000			1.320877
35				21.659001			0.881790			1378.080000			0.391550			72.000000			1.113016
36				19.569101			0.805002			1378.080000			0.396972			72.000000			1.091774
37				16.135014			0.706372			1378.080000			0.415646			72.000000			1.220364
38				16.044469			0.705557			1378.080000			0.416738			72.000000			1.231555
39				16.277542			0.716447			1378.080000			0.417221			72.000000			1.253547
40				19.007780			0.787006			1378.080000			0.042286			78.000000			1.091090
41				16.730772			0.703793			1378.080000			0.347675			72.000000			1.099307
42				18.384928			0.821171			1378.080000			0.399638			84.000000			1.704586
43				16.866984			0.777588			1378.080000			0.398415			72.000000			1.699389
44				17.857614			0.794941			1378.080000			0.398989			72.000000			1.563954
45				18.231605			0.806216			1378.080000			0.396635			78.000000			1.582747
46				18.512907			0.818545			1378.080000			0.396904			72.000000			1.624877
47				16.442249			0.714237			1378.080000			0.392398			66.000000			1.289627
48				15.989987			0.734868			1378.080000			0.398429			72.000000			1.519490
49				18.829716			0.807255			1378.080000			0.393618			78.000000			1.427426
50				18.342124			0.781280			1378.080000			0.400923			72.000000			1.256364
51				17.066303			0.767276			1378.080000			0.398157			72.000000			1.533465
52				17.605629			0.779391			1378.080000			0.393775			72.000000			1.510786
53				18.977934			0.821816			1378.080000			0.398003			84.000000			1.511959
54				17.187847			0.753509			1378.080000			0.391444			72.000000			1.417464
55				16.133141			0.728960			1378.080000			0.397324			72.000000			1.454995
56				17.084624			0.743423			1378.080000			0.392848			66.000000			1.343787
57				17.480705			0.775110			1378.080000			0.396611			66.000000			1.479029
58				17.619617			0.778228			1378.080000			0.394606			66.000000			1.490361
59				19.014672			0.801434			1378.080000			0.389257			66.000000			1.302331
60				16.525230			0.758179			1378.080000			0.399619			72.000000			1.580487
61				17.616102			0.795277			1378.080000			0.398944			78.000000			1.644514
62				18.237865			0.804605			1378.080000			0.398018			72.000000			1.558424
63				17.826382			0.793861			1378.080000			0.404538			90.000000			1.568324
64				19.651883			0.821888			1378.080000			0.521053			60.000000			1.295301
65				18.504261			0.794378			1378.080000			0.390075			66.000000			1.378538
66				16.245043			0.746734			1378.080000			0.399044			72.000000			1.575470
67				16.858431			0.769971			1378.080000			0.400184			78.000000			1.612272
68				17.869991			0.786603			1378.080000			0.397356			72.000000			1.483796
69				18.317155			0.797204			1378.080000			0.396980			72.000000			1.443089
70				16.960019			0.752361			1378.080000			0.393683			72.000000			1.463629
71				17.087628			0.778771			1378.080000			0.399275			66.000000			1.629565
72				16.501690			0.757444			1378.080000			0.402894			72.000000			1.571311
73				18.833803			0.809832			1378.080000			0.392804			66.000000			1.416368
74				18.481914			0.802960			1378.080000			0.393668			72.000000			1.501089
75				18.306560			0.805037			1378.080000			0.396029			66.000000			1.531150
76				17.156653			0.768305			1378.080000			0.396143			66.000000			1.501027
77				18.542575			0.812672			1378.080000			0.396284			72.000000			1.548111
78				17.215131			0.777292			1378.080000			0.397940			72.000000			1.577462
79				19.192151			0.824750			1378.080000			0.392714			72.000000			1.520542
80				19.545794			0.822229			1378.080000			0.519846			60.000000			1.345268
