band1 
0.2 	 0.912160	0.066183	0.060097	0.041404	0.033488	0.048551	0.025758
0.3 	 0.914160	0.067070	0.060660	0.041717	0.033779	0.049120	0.026028
0.4 	 0.916040	0.067957	0.061224	0.042031	0.034071	0.049689	0.026299
0.5 	 0.917807	0.068844	0.061787	0.042345	0.034362	0.050258	0.026569
0.6 	 0.919467	0.069732	0.062351	0.042658	0.034654	0.050827	0.026839
0.7 	 0.921027	0.070619	0.062914	0.042972	0.034945	0.051396	0.027110
0.8 	 0.922493	0.071506	0.063478	0.043285	0.035237	0.051965	0.027380
0.9 	 0.923869	0.072393	0.064041	0.043599	0.035528	0.052535	0.027650
1.0 	 0.925163	0.073280	0.064605	0.043913	0.035820	0.053104	0.027921


band2 
0.2 	 0.071895	0.071749	0.108007	0.070946	0.109959	0.089993	0.086415
0.3 	 0.033532	0.105794	0.153067	0.101369	0.152709	0.128710	0.119451
0.4 	 0.032402	0.110552	0.159676	0.105832	0.159169	0.134337	0.124554
0.5 	 0.031371	0.115310	0.166285	0.110294	0.165630	0.139963	0.129657
0.6 	 0.017485	0.129332	0.183236	0.121847	0.180451	0.154450	0.141605
0.7 	 0.016399	0.134822	0.190662	0.126870	0.187571	0.160776	0.147249
0.8 	 0.014054	0.141660	0.199369	0.133086	0.195625	0.168292	0.153823
0.9 	 0.013094	0.147346	0.206990	0.138350	0.202868	0.174788	0.159603
1.0 	 0.012257	0.152968	0.214543	0.143497	0.210078	0.181230	0.165338


band3 
0.2 	 0.885929	0.022707	0.018735	0.012938	0.008867	0.017905	0.007026
0.3 	 0.885799	0.023450	0.019174	0.013300	0.009052	0.018425	0.007186
0.4 	 0.885551	0.024193	0.019613	0.013662	0.009238	0.018945	0.007346
0.5 	 0.885206	0.024936	0.020052	0.014024	0.009424	0.019465	0.007506
0.6 	 0.884784	0.025679	0.020491	0.014385	0.009610	0.019986	0.007666
0.7 	 0.884301	0.026422	0.020929	0.014747	0.009796	0.020506	0.007826
0.8 	 0.883768	0.027165	0.021368	0.015109	0.009982	0.021026	0.007986
0.9 	 0.883197	0.027909	0.021807	0.015470	0.010168	0.021546	0.008146
1.0 	 0.882596	0.028652	0.022246	0.015832	0.010354	0.022067	0.008306


